Signature	Subtype	proportion	exposure
S12	BL	100	8.13025466330949
S13	BL	92.10526315789474	2.3001368068133647
S14	BL	92.10526315789474	1.4212045699648632
S15	BL	100	1.7575561012525291
S16	BL	100	2.097883665501575
S2	BL	100	10.500340325551345
S3	BL	100	4.3549633890574375
S4	BL	100	5.597054355722872
S5	BL	100	8.108226835813156
S6	BL	100	12.297950737871588
S7	BL	97.36842105263158	5.362240563175143
S8	BL	97.36842105263158	6.4473338886543345
S9	BL	94.73684210526315	4.260383582164798
D1	FL	65.03067484662577	30.508474576271187
D2	FL	55.21472392638037	21.951219512195124
D3	FL	66.25766871165644	21.052631578947366
D4	FL	71.16564417177914	22.727272727272727
ID1	FL	96.93251533742331	21.397379912663755
ID2	FL	98.77300613496932	41.77693761814745
ID3	FL	100	32.544378698224854
K1	FL	94.47852760736197	46.16623851613184
K2	FL	93.25153374233128	53.83376148386816
Kapobec	FL	0	0
S1	FL	99.38650306748467	11.00652610441767
S10	FL	87.11656441717791	4.908624074913155
S11	FL	93.25153374233128	3.7356321839080464
S12	FL	96.31901840490798	4.169339320076972
S13	FL	98.15950920245399	2.58732212160414
S14	FL	96.31901840490798	2.5974025974025974
S15	FL	98.15950920245399	0.934409870271251
S16	FL	97.54601226993866	1.3454481915079504
S2	FL	95.70552147239265	6.437164064499616
S3	FL	96.93251533742331	8.642940946421588
S4	FL	98.15950920245399	4.410470743510779
S5	FL	96.31901840490798	6.606650210541599
S6	FL	97.54601226993866	9.579192218227956
S7	FL	96.93251533742331	9.627525252525253
S8	FL	93.25153374233128	4.978962131837307
S9	FL	96.93251533742331	10.018088214832337
D1	GCB-DLBCL	78.46153846153847	37.41666666666667
D2	GCB-DLBCL	73.07692307692307	23.98561890087314
D3	GCB-DLBCL	76.15384615384615	20.037975664574134
D4	GCB-DLBCL	73.84615384615385	17.486860965121835
ID1	GCB-DLBCL	90	23.333333333333332
ID2	GCB-DLBCL	98.46153846153847	49.02482269503546
ID3	GCB-DLBCL	97.6923076923077	17.6490400808353
K1	GCB-DLBCL	89.23076923076924	37.4132730015083
K2	GCB-DLBCL	88.46153846153845	54.75655470978655
Kapobec	GCB-DLBCL	7.6923076923076925	0
S1	GCB-DLBCL	97.6923076923077	9.211292378330109
S10	GCB-DLBCL	90.76923076923077	4.885367811793664
S11	GCB-DLBCL	92.3076923076923	3.87360654652717
S12	GCB-DLBCL	92.3076923076923	3.310610952960646
S13	GCB-DLBCL	98.46153846153847	3.219002992878612
S14	GCB-DLBCL	100	2.7626014997700374
S15	GCB-DLBCL	98.46153846153847	1.0900222430533646
S16	GCB-DLBCL	96.15384615384616	0.944558989889919
S2	GCB-DLBCL	96.15384615384616	6.923637452940509
S3	GCB-DLBCL	97.6923076923077	8.280804568651916
S4	GCB-DLBCL	100	6.139014678050442
S5	GCB-DLBCL	98.46153846153847	10.939573859834905
S6	GCB-DLBCL	94.61538461538461	5.952272562532356
S7	GCB-DLBCL	90.76923076923077	6.122819986730162
S8	GCB-DLBCL	97.6923076923077	7.148545276652849
S9	GCB-DLBCL	95.38461538461539	7.256450471713377
D1	ABC-DLBCL	52.5	20.374982703749826
D2	ABC-DLBCL	72.5	27.945743514797222
D3	ABC-DLBCL	73.125	22.58064516129032
D4	ABC-DLBCL	78.75	23.639705882352942
ID1	ABC-DLBCL	92.5	36.84210526315789
ID2	ABC-DLBCL	90.625	36.92493946731235
ID3	ABC-DLBCL	90.625	19.873817034700316
K1	ABC-DLBCL	93.75	61.45942884879864
K2	ABC-DLBCL	92.5	36.30816412859561
Kapobec	ABC-DLBCL	3.75	0
S1	ABC-DLBCL	99.375	12.433454296009085
S10	ABC-DLBCL	86.25	4.6944003582426514
S11	ABC-DLBCL	93.125	4.035369521823194
S12	ABC-DLBCL	96.875	5.126390197016352
S13	ABC-DLBCL	95	2.570317921195114
S14	ABC-DLBCL	98.125	1.495998211624873
S15	ABC-DLBCL	99.375	1.2427815604087258
S16	ABC-DLBCL	95.625	1.296118779873137
S2	ABC-DLBCL	96.875	7.78491055766764
S3	ABC-DLBCL	96.875	4.567499377416442
S4	ABC-DLBCL	98.75	4.631682372539332
S5	ABC-DLBCL	98.75	11.458302083732034
S6	ABC-DLBCL	100	8.433439420019152
S7	ABC-DLBCL	96.25	7.477307289476561
S8	ABC-DLBCL	97.5	8.308958374209837
S9	ABC-DLBCL	84.375	3.550554874209774
D1	MM	27.27272727272727	0
D2	MM	16.883116883116884	0
D3	MM	94.8051948051948	71.42857142857143
D4	MM	12.987012987012985	0
ID1	MM	72.72727272727273	5.204460966542751
ID2	MM	100	70.8029197080292
ID3	MM	94.8051948051948	22.99794661190965
K1	MM	31.16883116883117	9.545454545454547
K2	MM	35.064935064935064	65.15151515151514
Kapobec	MM	19.480519480519483	0
S1	MM	94.8051948051948	9.124767225325884
S10	MM	83.11688311688312	4.873949579831933
S11	MM	100	7.344537815126051
S12	MM	97.40259740259741	3.7553530251454927
S13	MM	100	8.135502800746867
S14	MM	100	2.2798390701832814
S15	MM	100	1.4921837991473235
S16	MM	84.4155844155844	0.8541699021587202
S2	MM	100	7.998367680065292
S3	MM	97.40259740259741	11.508220157255183
S4	MM	100	3.838991548488755
S5	MM	87.01298701298701	3.0720338983050848
